Domain,File Type,File Path,Class Name,Field Name,Field Type,Relationship Type,Line Number,Should Remove
ls,request,core/models/ls/ls_request.py,LearningStepResponse,choice_uids,list[str],OTHER,153,REVIEW
ls,request,core/models/ls/ls_request.py,LearningStepResponse,habit_uids,list[str],OTHER,156,REVIEW
ls,request,core/models/ls/ls_request.py,LearningStepResponse,task_uids,list[str],OTHER,157,REVIEW
ls,request,core/models/ls/ls_request.py,LearningStepResponse,event_template_uids,list[str],OTHER,158,REVIEW
principle,dto,core/models/principle/principle_dto.py,PrincipleDTO,guided_goal_uids,list[str],GUIDANCE,46,YES
principle,dto,core/models/principle/principle_dto.py,PrincipleDTO,inspired_habit_uids,list[str],OTHER,47,YES
principle,dto,core/models/principle/principle_dto.py,PrincipleDTO,related_principle_uids,list[str],ASSOCIATION,48,YES
task,dto,core/models/task/task_dto.py,TaskDTO,subtask_uids,list[str],HIERARCHICAL,52,YES
task,dto,core/models/task/task_dto.py,TaskDTO,applies_knowledge_uids,list[str],APPLICATION,62,YES
task,dto,core/models/task/task_dto.py,TaskDTO,aligned_principle_uids,list[str],SUPPORT,63,YES
task,dto,core/models/task/task_dto.py,TaskDTO,prerequisite_knowledge_uids,list[str],PREREQUISITE,72,YES
task,dto,core/models/task/task_dto.py,TaskDTO,prerequisite_task_uids,list[str],PREREQUISITE,73,YES
task,dto,core/models/task/task_dto.py,TaskDTO,enables_task_uids,list[str],DEPENDENCY,74,YES
task,dto,core/models/task/task_dto.py,TaskDTO,inferred_knowledge_uids,list[str],OTHER,85,YES
task,request,core/models/task/task_request.py,TaskCreateRequest,applies_knowledge_uids,list[str],APPLICATION,56,REVIEW
task,request,core/models/task/task_request.py,TaskCreateRequest,aligned_principle_uids,list[str],SUPPORT,57,REVIEW
task,request,core/models/task/task_request.py,TaskCreateRequest,prerequisite_knowledge_uids,list[str],PREREQUISITE,61,REVIEW
task,request,core/models/task/task_request.py,TaskCreateRequest,prerequisite_task_uids,list[str],PREREQUISITE,62,REVIEW
task,request,core/models/task/task_request.py,TaskCreateRequest,suggested_knowledge_uids,list[str],OTHER,65,REVIEW
task,request,core/models/task/task_request.py,TaskUpdateRequest,applies_knowledge_uids,list[str] | None,APPLICATION,106,REVIEW
task,request,core/models/task/task_request.py,TaskUpdateRequest,aligned_principle_uids,list[str] | None,SUPPORT,107,REVIEW
task,request,core/models/task/task_request.py,TaskUpdateRequest,prerequisite_knowledge_uids,list[str] | None,PREREQUISITE,111,REVIEW
task,request,core/models/task/task_request.py,TaskUpdateRequest,prerequisite_task_uids,list[str] | None,PREREQUISITE,112,REVIEW
task,request,core/models/task/task_request.py,TaskResponse,subtask_uids,list[str],HIERARCHICAL,145,REVIEW
task,request,core/models/task/task_request.py,TaskResponse,applies_knowledge_uids,list[str],APPLICATION,155,REVIEW
task,request,core/models/task/task_request.py,TaskResponse,aligned_principle_uids,list[str],SUPPORT,156,REVIEW
task,request,core/models/task/task_request.py,TaskResponse,prerequisite_knowledge_uids,list[str],PREREQUISITE,160,REVIEW
task,request,core/models/task/task_request.py,TaskResponse,prerequisite_task_uids,list[str],PREREQUISITE,161,REVIEW
task,request,core/models/task/task_request.py,TaskResponse,enables_task_uids,list[str],DEPENDENCY,162,REVIEW
transcription,request,core/models/transcription/transcription_request.py,TranscriptionBulkUpdateRequest,transcription_uids,list[str],OTHER,263,REVIEW
transcription,request,core/models/transcription/transcription_request.py,TranscriptionExportRequest,transcription_uids,list[str] | None,OTHER,300,REVIEW
user,context,core/models/user/user_context.py,UnifiedUserContext,active_task_uids,list[str],OTHER,68,NO
user,context,core/models/user/user_context.py,UnifiedUserContext,overdue_task_uids,list[str],OTHER,80,NO
user,context,core/models/user/user_context.py,UnifiedUserContext,today_task_uids,list[str],OTHER,81,NO
user,context,core/models/user/user_context.py,UnifiedUserContext,this_week_task_uids,list[str],OTHER,82,NO
user,context,core/models/user/user_context.py,UnifiedUserContext,upcoming_event_uids,list[str],OTHER,87,NO
user,context,core/models/user/user_context.py,UnifiedUserContext,recurring_event_uids,list[str],OTHER,88,NO
user,context,core/models/user/user_context.py,UnifiedUserContext,today_event_uids,list[str],OTHER,89,NO
user,context,core/models/user/user_context.py,UnifiedUserContext,active_goal_uids,list[str],OTHER,102,NO
user,context,core/models/user/user_context.py,UnifiedUserContext,active_habit_uids,list[str],OTHER,117,NO
user,context,core/models/user/user_context.py,UnifiedUserContext,enrolled_path_uids,list[str],OTHER,134,NO
user,context,core/models/user/user_context.py,UnifiedUserContext,core_principle_uids,list[str],OTHER,159,NO
user,dto,core/models/user/user_dto.py,UserDTO,pinned_entity_uids,list[str],OTHER,80,YES
user,request,core/models/user/user_request.py,UserUpdateSchema,pinned_entity_uids,list[str] | None,OTHER,149,REVIEW
user,request,core/models/user/user_request.py,UserView,pinned_entity_uids,list[str],OTHER,174,REVIEW
user,request,core/models/user/user_request.py,UserServiceContextSchema,current_goal_uids,list[str],OTHER,232,REVIEW
